Country,TourismGDP,FrequencyYears,GDP_2026,GDP_2027,GDP_2028,GDP_2029,GDP_2030,GDP_2031,GDP_2032,GDP_2033
Cayman,20,4,-2.6,1.8,2.6,1.4,-2.9,1.8,2.5,1
Bahamas,42,2,-5.5,3.7,-5.7,4.1,-5.9,4.4,-6.4,4.4
Barbados,31,13,-4.1,2.7,4,2.1,2,1.9,1.6,1.5
Jamaica,34,4,-4.4,3,4.4,2.3,-4.9,3.2,4.4,2
Trinidad,7,33,-0.9,0.6,0.9,0.5,0.7,1.3,1.5,1.3
Antigua,87,5,-11.4,7.7,11.2,5.9,2.5,-12.6,5.1,11.7
St Lucia,66,8,-8.6,5.8,8.5,4.5,-9.5,6.3,9,3
Br Virgin Is,44,4,-5.8,3.9,5.6,3,-6.3,4.1,5.9,2.8
Turks & Caicos,83,4,-10.8,7.3,10.7,5.6,-11.9,7.9,11.4,5.7
St Kitts & Nevis,38,4,-5,3.3,4.9,2.6,-5.5,3.6,5,2.3
Bds Trust,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  
Dominica,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  
First (L&W) Ltd,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  
Bds Offshore,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  
